school,journal,year,author,paper_key,tags,affiliation
USC (Marshall),MS,2021,Vishal Gupta,doi:10.1287/mnsc.2019.3554,statistics,"Data Science and Operations, University of Southern California Marshall School of Business, Los Angeles, California 90089"
USC (Marshall),MS,2021,Paat Rusmevichientong,doi:10.1287/mnsc.2019.3554,statistics,"Data Science and Operations, University of Southern California Marshall School of Business, Los Angeles, California 90089"
UIUC (Gies),MS,2021,Yuqian Xu,doi:10.1287/mnsc.2020.3879,statistics,"Department of Technology, Operations, and Statistics, Department of Business Administration, Gies College of Business, University of Illinois at Urbana-Champaign, Illinois 61820"
USC (Marshall),MS,2021,Vishal Gupta,doi:10.1287/mnsc.2020.3821,statistics,"Data Science and Operations, Marshall School of Business, University of Southern California, Los Angeles, California 90089;"
USC (Marshall),MS,2022,Vishal Gupta,doi:10.1287/mnsc.2020.3933,statistics,"Data Science and Operations, USC Marshall School of Business, Los Angles, California 90089;"
MIT,MS,2022,David Simchi-Levi,doi:10.1287/mnsc.2021.4212,engineering,"Institute for Data, Systems, and Society and Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, Cambridge, Massachusetts 02139; ; Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2022,David Simchi-Levi,doi:10.1287/mnsc.2021.4171,engineering,"Institute for Data, Systems and Society, Operations Research Center, Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
MIT,MS,2022,David Simchi-Levi,doi:10.1287/mnsc.2021.4284,engineering,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
Virginia Tech (Pamplin),MS,2022,Idris Adjerid,doi:10.1287/mnsc.2021.4004,information_systems,"Business Information Technology, Pamplin College of Business, Virginia Tech, Blacksburg, Virginia 24061"
MIT,MS,2022,David Simchi-Levi,doi:10.1287/mnsc.2021.4024,engineering,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2022,David Simchi-Levi,doi:10.1287/mnsc.2021.4216,engineering,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
Boston U (Questrom),MS,2022,Nachiketa Sahoo,doi:10.1287/mnsc.2020.3930,information_systems,"Department of Information Systems, Questrom School of Business, Boston University, Boston, Massachusetts 02215"
MIT,MS,2022,David Simchi-Levi,doi:10.1287/mnsc.2021.4071,engineering,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
UW (Foster),MS,2022,Masha Shunko,doi:10.1287/mnsc.2021.4063,information_systems,"Information Systems & Operations Management, Foster School of Business, University of Washington, Seattle, Washington 98195;"
Maryland (Smith),MS,2022,Anna Bogomolnaia,doi:10.1287/mnsc.2021.3973,economics,"Adam Smith Business School, University of Glasgow, Glasgow G12 8QQ, United Kingdom; ; International Laboratory of Game Theory and Decision Making, Higher School of Economics, St. Petersburg 194100, Russia;"
Maryland (Smith),MS,2022,Hervé Moulin,doi:10.1287/mnsc.2021.3973,economics,"Adam Smith Business School, University of Glasgow, Glasgow G12 8QQ, United Kingdom ; International Laboratory of Game Theory and Decision Making, Higher School of Economics, St. Petersburg 194100, Russia"
MIT,MS,2022,David Simchi-Levi,doi:10.1287/mnsc.2021.4134,engineering,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
MIT,MS,2022,Shuangyu Wang,doi:10.1287/mnsc.2021.4134,engineering,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
MIT,MS,2022,David Simchi-Levi,doi:10.1287/mnsc.2021.4222,engineering,"Institute for Data, Systems, and Society, Department of Civil & Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
MIT,MS,2022,David Simchi-Levi,doi:10.1287/mnsc.2022.4322,engineering,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
Boston U (Questrom),MS,2022,Dirk Hackbarth,doi:10.1287/mnsc.2021.4139,economics,"Questrom School of Business, Boston University, Boston, Massachusetts 02215; ; Centre for Economic and Policy Research (CEPR), London EC1V 0DX, United Kingdom; ; European Corporate Governance Institute (ECGI), 1000 Brussels, Belgium;"
