rankings_school,year,ms_std_papers,ms_personal_papers,ms_std_citations,ms_personal_citation_weighted
Iowa (Tippie),2025,1.0000,1.0000,4.0000,4.0000
Iowa (Tippie),2026,0.0000,0.0000,0.0000,0.0000
Ohio State (Fisher),2016,1.0000,3.0000,147.0000,441.0000
Ohio State (Fisher),2017,0.0000,0.0000,0.0000,0.0000
Ohio State (Fisher),2018,0.0000,0.0000,0.0000,0.0000
Ohio State (Fisher),2019,0.0000,0.0000,0.0000,0.0000
Ohio State (Fisher),2020,2.0000,3.0000,99.0000,151.0000
Ohio State (Fisher),2021,0.0000,0.0000,0.0000,0.0000
Ohio State (Fisher),2022,0.0000,0.0000,0.0000,0.0000
Ohio State (Fisher),2023,0.0000,0.0000,0.0000,0.0000
Ohio State (Fisher),2024,0.0000,0.0000,0.0000,0.0000
Ohio State (Fisher),2025,0.0000,0.0000,0.0000,0.0000
Ohio State (Fisher),2026,0.0000,0.0000,0.0000,0.0000
Notre Dame (Mendoza),2016,0.0000,0.0000,0.0000,0.0000
Notre Dame (Mendoza),2017,0.0000,0.0000,0.0000,0.0000
Notre Dame (Mendoza),2018,0.0000,0.0000,0.0000,0.0000
Notre Dame (Mendoza),2019,0.0000,0.0000,0.0000,0.0000
Notre Dame (Mendoza),2020,0.0000,0.0000,0.0000,0.0000
Notre Dame (Mendoza),2021,0.0000,0.0000,0.0000,0.0000
Notre Dame (Mendoza),2022,1.0000,2.0000,41.0000,82.0000
Notre Dame (Mendoza),2023,0.0000,0.0000,0.0000,0.0000
Notre Dame (Mendoza),2024,0.0000,0.0000,0.0000,0.0000
Notre Dame (Mendoza),2025,1.0000,1.0000,2.0000,2.0000
Notre Dame (Mendoza),2026,1.0000,2.0000,5.0000,10.0000
UBC (Sauder),2016,1.0000,1.0000,93.0000,93.0000
UBC (Sauder),2017,1.0000,1.0000,52.0000,52.0000
UBC (Sauder),2018,2.0000,2.0000,165.0000,165.0000
UBC (Sauder),2019,0.0000,0.0000,0.0000,0.0000
UBC (Sauder),2020,0.0000,0.0000,0.0000,0.0000
UBC (Sauder),2021,5.0000,9.0000,266.0000,630.0000
UBC (Sauder),2022,4.0000,4.0000,74.0000,74.0000
UBC (Sauder),2023,3.0000,3.0000,40.0000,40.0000
UBC (Sauder),2024,0.0000,0.0000,0.0000,0.0000
UBC (Sauder),2025,7.0000,11.0000,8.0000,8.0000
UBC (Sauder),2026,1.0000,2.0000,0.0000,0.0000
Virginia (Darden),2016,0.0000,0.0000,0.0000,0.0000
Virginia (Darden),2017,2.0000,2.0000,259.0000,259.0000
Virginia (Darden),2018,0.0000,0.0000,0.0000,0.0000
Virginia (Darden),2019,5.0000,4.0000,208.0000,143.0000
Virginia (Darden),2020,2.0000,2.0000,89.0000,89.0000
Virginia (Darden),2021,3.0000,3.0000,105.0000,105.0000
Virginia (Darden),2022,7.0000,7.0000,178.0000,148.0000
Virginia (Darden),2023,2.0000,2.0000,58.0000,58.0000
Virginia (Darden),2024,1.0000,1.0000,6.0000,6.0000
Virginia (Darden),2025,1.0000,1.0000,1.0000,1.0000
Virginia (Darden),2026,2.0000,2.0000,0.0000,0.0000
Northeastern,2016,1.0000,1.0000,125.0000,125.0000
Northeastern,2017,0.0000,0.0000,0.0000,0.0000
Northeastern,2018,1.0000,1.0000,2.0000,2.0000
Northeastern,2019,0.0000,0.0000,0.0000,0.0000
Northeastern,2020,0.0000,0.0000,0.0000,0.0000
Northeastern,2021,0.0000,0.0000,0.0000,0.0000
Northeastern,2022,0.0000,0.0000,0.0000,0.0000
Northeastern,2023,0.0000,0.0000,0.0000,0.0000
Northeastern,2024,0.0000,0.0000,0.0000,0.0000
Northeastern,2025,0.0000,0.0000,0.0000,0.0000
Northeastern,2026,0.0000,0.0000,0.0000,0.0000
Boston College (Carroll),2016,0.0000,0.0000,0.0000,0.0000
Boston College (Carroll),2017,2.0000,2.0000,434.0000,434.0000
Boston College (Carroll),2018,1.0000,1.0000,52.0000,52.0000
Boston College (Carroll),2019,3.0000,3.0000,135.0000,135.0000
Boston College (Carroll),2020,3.0000,3.0000,765.0000,765.0000
Boston College (Carroll),2021,2.0000,2.0000,27.0000,27.0000
Boston College (Carroll),2022,1.0000,1.0000,34.0000,34.0000
Boston College (Carroll),2023,1.0000,1.0000,28.0000,28.0000
Boston College (Carroll),2024,1.0000,3.0000,0.0000,0.0000
Boston College (Carroll),2025,1.0000,1.0000,3.0000,3.0000
Boston College (Carroll),2026,0.0000,0.0000,0.0000,0.0000
Virginia Tech (Pamplin),2016,0.0000,0.0000,0.0000,0.0000
Virginia Tech (Pamplin),2017,0.0000,0.0000,0.0000,0.0000
Virginia Tech (Pamplin),2018,0.0000,0.0000,0.0000,0.0000
Virginia Tech (Pamplin),2019,1.0000,2.0000,65.0000,130.0000
Virginia Tech (Pamplin),2020,0.0000,0.0000,0.0000,0.0000
Virginia Tech (Pamplin),2021,0.0000,0.0000,0.0000,0.0000
Virginia Tech (Pamplin),2022,2.0000,2.0000,53.0000,53.0000
Virginia Tech (Pamplin),2023,0.0000,0.0000,0.0000,0.0000
Virginia Tech (Pamplin),2024,0.0000,0.0000,0.0000,0.0000
Virginia Tech (Pamplin),2025,0.0000,0.0000,0.0000,0.0000
Virginia Tech (Pamplin),2026,0.0000,0.0000,0.0000,0.0000
SMU (Cox),2016,0.0000,0.0000,0.0000,0.0000
SMU (Cox),2017,0.0000,0.0000,0.0000,0.0000
SMU (Cox),2018,1.0000,3.0000,10.0000,30.0000
SMU (Cox),2019,4.0000,6.0000,200.0000,276.0000
SMU (Cox),2020,3.0000,5.0000,249.0000,353.0000
SMU (Cox),2021,2.0000,2.0000,206.0000,206.0000
SMU (Cox),2022,3.0000,5.0000,59.0000,67.0000
SMU (Cox),2023,1.0000,1.0000,23.0000,23.0000
SMU (Cox),2024,1.0000,1.0000,32.0000,32.0000
SMU (Cox),2025,4.0000,4.0000,13.0000,13.0000
SMU (Cox),2026,3.0000,3.0000,2.0000,2.0000
Dartmouth (Tuck),2016,0.0000,0.0000,0.0000,0.0000
Dartmouth (Tuck),2017,4.0000,4.0000,405.0000,405.0000
Dartmouth (Tuck),2018,1.0000,1.0000,188.0000,188.0000
Dartmouth (Tuck),2019,4.0000,4.0000,298.0000,298.0000
Dartmouth (Tuck),2020,1.0000,1.0000,70.0000,70.0000
Dartmouth (Tuck),2021,1.0000,1.0000,21.0000,21.0000
Dartmouth (Tuck),2022,4.0000,4.0000,132.0000,132.0000
Dartmouth (Tuck),2023,2.0000,4.0000,18.0000,36.0000
Dartmouth (Tuck),2024,0.0000,0.0000,0.0000,0.0000
Dartmouth (Tuck),2025,1.0000,1.0000,0.0000,0.0000
Dartmouth (Tuck),2026,1.0000,1.0000,0.0000,0.0000
Michigan State (Broad),2016,0.0000,0.0000,0.0000,0.0000
Michigan State (Broad),2017,0.0000,0.0000,0.0000,0.0000
Michigan State (Broad),2018,0.0000,0.0000,0.0000,0.0000
Michigan State (Broad),2019,0.0000,0.0000,0.0000,0.0000
Michigan State (Broad),2020,0.0000,0.0000,0.0000,0.0000
Michigan State (Broad),2021,0.0000,0.0000,0.0000,0.0000
Michigan State (Broad),2022,2.0000,2.0000,12.0000,12.0000
Michigan State (Broad),2023,0.0000,0.0000,0.0000,0.0000
Michigan State (Broad),2024,1.0000,1.0000,10.0000,10.0000
Michigan State (Broad),2025,2.0000,3.0000,10.0000,11.0000
Michigan State (Broad),2026,0.0000,0.0000,0.0000,0.0000
