rankings_school,year,ms_std_papers,ms_personal_papers,ms_std_citations,ms_personal_citation_weighted,or_std_papers,or_personal_papers,or_std_citations,or_personal_citation_weighted,msom_std_papers,msom_personal_papers,msom_std_citations,msom_personal_citation_weighted
Toronto (Rotman),2016,3.0000,4.0000,236.0000,363.0000,2.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Toronto (Rotman),2017,1.0000,1.0000,68.0000,68.0000,0.0000,0.0000,0.0000,0.0000,5.0000,8.0000,210.0000,334.0000
Toronto (Rotman),2018,2.0000,2.0000,160.0000,160.0000,1.0000,1.0000,0.0000,0.0000,1.0000,2.0000,46.0000,92.0000
Toronto (Rotman),2019,3.0000,4.0000,223.0000,248.0000,2.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Toronto (Rotman),2020,2.0000,3.0000,55.0000,73.0000,2.0000,2.0000,0.0000,0.0000,2.0000,2.0000,399.0000,399.0000
Toronto (Rotman),2021,5.0000,5.0000,389.0000,389.0000,5.0000,5.0000,0.0000,0.0000,2.0000,2.0000,29.0000,29.0000
Toronto (Rotman),2022,5.0000,5.0000,337.0000,337.0000,2.0000,4.0000,0.0000,0.0000,9.0000,11.0000,381.0000,477.0000
Toronto (Rotman),2023,1.0000,1.0000,36.0000,36.0000,4.0000,4.0000,0.0000,0.0000,5.0000,5.0000,282.0000,282.0000
Toronto (Rotman),2024,4.0000,4.0000,73.0000,73.0000,6.0000,6.0000,0.0000,0.0000,4.0000,5.0000,7.0000,8.0000
Toronto (Rotman),2025,5.0000,5.0000,4.0000,4.0000,4.0000,5.0000,0.0000,0.0000,5.0000,9.0000,7.0000,8.0000
Toronto (Rotman),2026,0.0000,0.0000,0.0000,0.0000,2.0000,2.0000,0.0000,0.0000,1.0000,1.0000,5.0000,5.0000
NYU (Stern),2016,4.0000,7.0000,432.0000,845.0000,2.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NYU (Stern),2017,3.0000,3.0000,261.0000,261.0000,6.0000,8.0000,0.0000,0.0000,2.0000,2.0000,142.0000,142.0000
NYU (Stern),2018,1.0000,2.0000,97.0000,194.0000,2.0000,2.0000,0.0000,0.0000,1.0000,1.0000,50.0000,50.0000
NYU (Stern),2019,4.0000,4.0000,186.0000,186.0000,2.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NYU (Stern),2020,4.0000,5.0000,279.0000,341.0000,2.0000,2.0000,0.0000,0.0000,1.0000,1.0000,22.0000,22.0000
NYU (Stern),2021,3.0000,4.0000,300.0000,424.0000,5.0000,5.0000,0.0000,0.0000,2.0000,2.0000,243.0000,243.0000
NYU (Stern),2022,1.0000,1.0000,73.0000,73.0000,4.0000,4.0000,0.0000,0.0000,3.0000,4.0000,66.0000,79.0000
NYU (Stern),2023,2.0000,3.0000,34.0000,53.0000,4.0000,4.0000,0.0000,0.0000,3.0000,3.0000,49.0000,49.0000
NYU (Stern),2024,4.0000,5.0000,32.0000,44.0000,7.0000,7.0000,0.0000,0.0000,6.0000,6.0000,96.0000,96.0000
NYU (Stern),2025,4.0000,4.0000,7.0000,7.0000,11.0000,12.0000,0.0000,0.0000,4.0000,4.0000,10.0000,10.0000
NYU (Stern),2026,1.0000,1.0000,0.0000,0.0000,3.0000,4.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000
Harvard,2016,1.0000,1.0000,391.0000,391.0000,0.0000,0.0000,0.0000,0.0000,4.0000,6.0000,634.0000,764.0000
Harvard,2017,3.0000,4.0000,93.0000,93.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,2.0000,2.0000
Harvard,2018,2.0000,3.0000,238.0000,410.0000,2.0000,2.0000,0.0000,0.0000,1.0000,1.0000,152.0000,152.0000
Harvard,2019,1.0000,1.0000,58.0000,58.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,25.0000,25.0000
Harvard,2020,2.0000,2.0000,157.0000,157.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Harvard,2021,5.0000,6.0000,148.0000,174.0000,0.0000,0.0000,0.0000,0.0000,1.0000,2.0000,102.0000,204.0000
Harvard,2022,3.0000,5.0000,128.0000,218.0000,3.0000,3.0000,0.0000,0.0000,3.0000,3.0000,274.0000,274.0000
Harvard,2023,2.0000,2.0000,48.0000,48.0000,1.0000,1.0000,0.0000,0.0000,2.0000,2.0000,46.0000,46.0000
Harvard,2024,2.0000,2.0000,30.0000,30.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,8.0000,8.0000
Harvard,2025,4.0000,4.0000,21.0000,21.0000,3.0000,3.0000,0.0000,0.0000,2.0000,3.0000,1.0000,1.0000
Harvard,2026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Duke (Fuqua),2016,2.0000,3.0000,347.0000,408.0000,3.0000,3.0000,0.0000,0.0000,1.0000,1.0000,57.0000,57.0000
Duke (Fuqua),2017,3.0000,4.0000,301.0000,319.0000,9.0000,11.0000,0.0000,0.0000,1.0000,1.0000,44.0000,44.0000
Duke (Fuqua),2018,3.0000,3.0000,145.0000,145.0000,3.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Duke (Fuqua),2019,1.0000,2.0000,14.0000,28.0000,6.0000,8.0000,0.0000,0.0000,2.0000,2.0000,164.0000,164.0000
Duke (Fuqua),2020,4.0000,5.0000,232.0000,260.0000,3.0000,4.0000,0.0000,0.0000,5.0000,5.0000,249.0000,249.0000
Duke (Fuqua),2021,2.0000,2.0000,94.0000,94.0000,4.0000,4.0000,0.0000,0.0000,2.0000,4.0000,361.0000,722.0000
Duke (Fuqua),2022,5.0000,10.0000,253.0000,501.0000,9.0000,11.0000,0.0000,0.0000,6.0000,7.0000,200.0000,276.0000
Duke (Fuqua),2023,2.0000,4.0000,149.0000,185.0000,5.0000,7.0000,0.0000,0.0000,6.0000,8.0000,129.0000,157.0000
Duke (Fuqua),2024,4.0000,5.0000,23.0000,28.0000,7.0000,8.0000,0.0000,0.0000,1.0000,1.0000,8.0000,8.0000
Duke (Fuqua),2025,3.0000,7.0000,59.0000,155.0000,8.0000,8.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000
