school,journal,year,author,paper_key,affiliation
MIT,MS,2023,David Simchi-Levi,doi:10.1287/mnsc.2022.4644,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2023,David Simchi-Levi,doi:10.1287/mnsc.2023.4704,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
MIT,MS,2023,David Simchi-Levi,doi:10.1287/mnsc.2022.4382,"Department of Civil and Environmental Engineering, Institute for Data, Systems, and Society, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; ; Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2023,David Simchi-Levi,doi:10.1287/mnsc.2023.4755,"Institute for Data, Systems, and Society, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; ; Department of Civil and Environmental Engineering and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
MIT,MS,2023,Manish Raghavan,doi:10.1287/mnsc.2022.03683,"Sloan School of Management, Massachusetts Institute of Technology, Cambridge, Massachusetts 02142; ; Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, Massachusetts 02142"
Boston U (Questrom),MS,2024,A. Max Reppen,doi:10.1287/mnsc.2023.4798,"Questrom School of Business, Boston University, Boston, Massachusetts 02215; ; Rafik B. Hariri Institute for Computing and Computational Science & Engineering, Boston, Massachusetts 02215"
MIT,MS,2024,David Simchi-Levi,doi:10.1287/mnsc.2023.4969,"Institute for Data, Systems, and Society, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; ; Department of Civil and Environmental Engineering, Cambridge, Massachusetts 02139; ; Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
Wharton (UPenn),MS,2024,Zhimei Ren,doi:10.1287/mnsc.2023.4895,"Department of Statistics and Data Science, The Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104;"
NYU (Stern),MS,2024,Zhengyuan Zhou,doi:10.1287/mnsc.2023.4895,"Department of Technology, Operation and Statistics, Stern School of Business, New York University, New York, New York 10012"
Arizona State (Carey),MS,2024,Suparerk Lekwijit,doi:10.1287/mnsc.2023.4865,"Department of Information Systems, W. P. Carey School of Business, Arizona State University, Tempe, Arizona 85281;"
MIT,MS,2024,David Simchi-Levi,doi:10.1287/mnsc.2021.04202,"Institute for Data, Systems, and Society, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; ; Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; ; Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
NYU (Stern),MS,2024,Hanna Halaburda,doi:10.1287/mnsc.2023.02426,"Department of Technology, Operations and Statistics, Stern School of Business, New York University, New York, New York 10012"
MIT,MS,2025,David Simchi-Levi,doi:10.1287/mnsc.2022.03512,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2025,David Simchi-Levi,doi:10.1287/mnsc.2022.02260,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2025,David Simchi-Levi,doi:10.1287/mnsc.2023.04026,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
Florida (Warrington),MS,2025,Xiajun Amy Pan,doi:10.1287/mnsc.2023.00316,"Information Systems and Operations Management Department, Warrington College of Business Administration, University of Florida, Gainesville, Florida 32611"
MIT,MS,2025,David Simchi-Levi,doi:10.1287/mnsc.2023.03818,"Institute for Data, Systems, and Society, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; and Laboratory for Information & Decision Systems, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; and Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2025,David Simchi-Levi,doi:10.1287/mnsc.2022.02533,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2025,David Simchi-Levi,doi:10.1287/mnsc.2023.00492,"Institute for Data, Systems, and Society, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; and Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
NYU (Stern),MS,2025,Jiawei Zhang,doi:10.1287/mnsc.2020.03850,"Department of Technology, Operations and Statistics, NYU Stern School of Business, New York, New York 10012"
MIT,MS,2025,Patrick Jaillet,doi:10.1287/mnsc.2022.01092,"Department of Electrical Engineering and Computer Science, Laboratory for Information and Decision Systems, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2025,David Simchi-Levi,doi:10.1287/mnsc.2023.01577,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2025,David Simchi-Levi,doi:10.1287/mnsc.2023.03956,"Institute for Data, Systems and Society, Operations Research Center, Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,OR,2021,David Simchi-Levi,doi:10.1287/opre.2020.2048,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
MIT,OR,2021,Patrick Jaillet,doi:10.1287/opre.2020.2017,"Department of Electrical Engineering and Computer Science, Laboratory for Information and Decision Systems, Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
NYU (Stern),OR,2021,Zhengyuan Zhou,doi:10.1287/opre.2020.1996,"Department of Technology, Operations, and Statistics, Stern School of Business, New York University, New York, New York 10012;"
MIT,OR,2022,David Simchi-Levi,doi:10.1287/opre.2022.2304,"Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; ; Institute for Data, Systems, and Society, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; ; Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
MIT,OR,2022,David Simchi-Levi,doi:10.1287/opre.2021.2243,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
Wharton (UPenn),OR,2022,Yuting Wei,doi:10.1287/opre.2021.2151,"Department of Statistics and Data Science, The Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104"
MIT,OR,2022,Saurabh Amin,doi:10.1287/opre.2021.2180,"Department of Civil and Environmental Engineering, Laboratory for Information and Decision Systems and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
NYU (Stern),OR,2022,Srikanth Jagabathula,doi:10.1287/opre.2021.2108,"Department of Technology, Operations, and Statistics, Leonard N. Stern School of Business, New York University, New York, New York 10012;"
Stanford,OR,2022,Yonatan Gur,doi:10.1287/opre.2021.2215,"Graduate School of Business, Stanford University, Stanford, California 94305; ; Electrical Engineering Department, Stanford University, Stanford, California 94305"
NYU (Stern),OR,2022,Ilan Lobel,doi:10.1287/opre.2021.2112,"Technology, Operations, and Statistics Department, Stern School of Business, New York University, New York, New York 10012"
MIT,OR,2022,Patrick Jaillet,doi:10.1287/opre.2021.2183,"Department of Electrical Engineering and Computer Science, Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
NYU (Stern),OR,2023,Jiawei Zhang,doi:10.1287/opre.2022.2386,"Department of Technology, Operations and Statistics, Stern School of Business, New York University, New York, New York 10012"
UW (Foster),OR,2023,Andrew F. Siegel,doi:10.1287/opre.2023.0070,"Information Systems and Operations Management, Michael G. Foster School of Business, University of Washington, Seattle, Washington 98195"
UW (Foster),OR,2023,Michael R. Wagner,doi:10.1287/opre.2023.0070,"Information Systems and Operations Management, Michael G. Foster School of Business, University of Washington, Seattle, Washington 98195"
Wharton (UPenn),OR,2024,Gen Li,doi:10.1287/opre.2023.2451,"Department of Statistics and Data Science, The Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104;"
Wharton (UPenn),OR,2024,Yuting Wei,doi:10.1287/opre.2023.2451,"Department of Statistics and Data Science, The Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104;"
Wharton (UPenn),OR,2024,Yuxin Chen,doi:10.1287/opre.2023.2451,"Department of Statistics and Data Science, The Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104; ; Department of Electrical and Systems Engineering, University of Pennsylvania, Philadelphia, Pennsylvania 19104"
Wharton (UPenn),OR,2024,Gen Li,doi:10.1287/opre.2023.2450,"Department of Statistics and Data Science, Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104;"
Wharton (UPenn),OR,2024,Yuxin Chen,doi:10.1287/opre.2023.2450,"Department of Statistics and Data Science, Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104;"
Wharton (UPenn),OR,2024,Yuting Wei,doi:10.1287/opre.2023.2450,"Department of Statistics and Data Science, Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104;"
Wharton (UPenn),OR,2024,Yuxin Chen,doi:10.1287/opre.2022.0342,"Department of Statistics and Data Science, Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104;"
MIT,OR,2024,Andrew W. Lo,doi:10.1287/opre.2023.0400,"MIT Sloan School of Management, Cambridge, Massachusetts 02142; ; Laboratory for Financial Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts 02142; ; Computer Science and Artificial Intelligence Laboratory, Massachusetts Institute of Technology, Cambridge, Massachusetts 02142; ; Santa Fe Institute, Santa Fe, New Mexico 87501;"
MIT,OR,2025,David Simchi-Levi,doi:10.1287/opre.2024.0865,"Institute for Data, Systems and Society, Operations Research Center, Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,OR,2025,David Simchi-Levi,doi:10.1287/opre.2020.0753,"Department of Civil and Environmental Engineering, Operations Research Center, and Institute for Data, Systems, and Society, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
NYU (Stern),OR,2025,Ilan Lobel,doi:10.1287/opre.2021.0369,"Technology, Operations, and Statistics, Stern School of Business, New York University, New York, New York 10012"
NYU (Stern),OR,2025,Jiawei Zhang,doi:10.1287/opre.2022.0641,"Department of Technology, Operations and Statistics, Stern School of Business, New York University, New York, New York 10012"
Wharton (UPenn),OR,2025,Shane T. Jensen,doi:10.1287/opre.2022.0113,"Department of Statistics and Data Science, The Wharton School of the University of Pennsylvania, Philadelphia, Pennsylvania 19104;"
MIT,OR,2025,Chaoyi Zhao,doi:10.1287/opre.2024.1133,"Sloan School of Management and Laboratory for Financial Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts 02142"
Wharton (UPenn),OR,2025,Ying Jin,doi:10.1287/opre.2023.0001,"Department of Statistics and Data Science, The Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104"
Wharton (UPenn),OR,2025,Zhimei Ren,doi:10.1287/opre.2023.0001,"Department of Statistics and Data Science, The Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104"
MIT,OR,2025,David Simchi-Levi,doi:10.1287/opre.2021.0499,"Institute for Data, Systems, and Society, Department of Civil & Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
NYU (Stern),OR,2025,Jiawei Zhang,doi:10.1287/opre.2022.0309,"Department of Technology, Operations & Statistics, Stern School of Business, New York University, New York, New York 10012"
UW (Foster),MSOM,2021,Masha Shunko,doi:10.1287/msom.2020.0924,"Information Systems and Operations Management, Foster School of Business, University of Washington, Seattle, Washington 98195;"
Toronto (Rotman),MSOM,2022,Ming Hu,doi:10.1287/msom.2020.0952,"Operations Management and Statistics, Rotman School of Management, University of Toronto, Toronto, Ontario M5S 3E6, Canada;"
Toronto (Rotman),MSOM,2022,Ming Hu,doi:10.1287/msom.2020.0923,"Operations Management and Statistics, Rotman School of Management, University of Toronto, Toronto, Ontario M5S 3E6, Canada;"
Toronto (Rotman),MSOM,2022,Nooshin Salari,doi:10.1287/msom.2022.1081,"Rotman School of Management, University of Toronto, Toronto, Ontario M5S 1A1, Canada ; Department of Industrial Engineering and Operations Research, University of California, Berkeley, Berkeley, California 94720"
NYU (Stern),MSOM,2022,Shixin Wang,doi:10.1287/msom.2020.0913,"Department of Technology, Operations, and Statistics, Stern School of Business, New York University, New York, New York 10012;"
NYU (Stern),MSOM,2022,Jiawei Zhang,doi:10.1287/msom.2020.0913,"Department of Technology, Operations, and Statistics, Stern School of Business, New York University, New York, New York 10012"
NYU (Stern),MSOM,2023,Divya Singhvi,doi:10.1287/msom.2022.1160,"Department of Technology, Operations, and Statistics, Leonard N. Stern School of Business, New York University, New York, New York 10012"
UT Dallas,MSOM,2023,Mehmet Ayvaci,doi:10.1287/msom.2023.1187,"Information Systems, Naveen Jindal School of Management, The University of Texas at Dallas, Richardson, Texas 75080"
UT Dallas,MSOM,2023,Srinivasan Raghunathan,doi:10.1287/msom.2023.1187,"Information Systems, Naveen Jindal School of Management, The University of Texas at Dallas, Richardson, Texas 75080"
Emory (Goizueta),MSOM,2024,Donald K. K. Lee,doi:10.1287/msom.2023.0039,"Goizueta Business School, Emory University, Atlanta, Georgia 30322; ; Department of Biostatistics & Bioinformatics, Emory University, Atlanta, Georgia 30329"
NYU (Stern),MSOM,2024,Jiawei Zhang,doi:10.1287/msom.2023.0072,"Department of Technology, Operations & Statistics, Stern School of Business, New York University, New York, New York 10012"
MIT,MSOM,2025,Patrick Jaillet,doi:10.1287/msom.2023.0306,"Department of Electrical Engineering and Computer Science and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
McGill (Desautels),MSOM,2025,Vivek Astvansh,doi:10.1287/msom.2023.0705,"Desautels Faculty of Management and Bensadoun School of Retail Management, McGill University, Montreal, Quebec H3A 0G4, Canada; and Luddy School of Informatics, Computing, and Engineering and Environmental Resilience Institute, Indiana University, Bloomington, Indiana 47405"
