school,author,counted_author_credits_2021_2025,unique_papers_2021_2025,sample_affiliation
Boston College (Carroll),Thomas J. Chemmanur,1,1,"Carroll School of Management, Boston College, Chestnut Hill, Massachusetts 02467"
Boston College (Carroll),Joy Field,1,1,"Carroll School of Management, Boston College, Chestnut Hill, Massachusetts 02467"
Boston College (Carroll),Tingliang Huang,1,1,"Business Analytics Department, Carroll School of Management, Boston College, Chestnut Hill, Massachusetts 02467;"
Boston College (Carroll),Işıl Alev,1,1,"Carroll School of Management, Boston College, Chestnut Hill, Massachusetts 02467;"
Virginia Tech (Pamplin),Idris Adjerid,2,2,"Business Information Technology, Pamplin College of Business, Virginia Tech, Blacksburg, Virginia 24061"
Virginia Tech (Pamplin),Jiayi Liu,1,1,"Pamplin College of Business, Virginia Tech, Blacksburg, Virginia 24061;"
Virginia Tech (Pamplin),Mohammad Ebrahim Arbabian,1,1,"Pamplin School of Business, University of Portland, Portland, Oregon 97203;"
SMU (Cox),Vishal Ahuja,3,3,"Cox School of Business, Southern Methodist University, Dallas, Texas 75275"
SMU (Cox),Yanhan (Savannah) Tang,2,2,"Department of Information Technology and Operations Management, Cox School of Business, Southern Methodist University, Dallas, Texas 75205"
SMU (Cox),Sreekumar Bhaskaran,2,2,"Cox School of Business, Southern Methodist University, Dallas, Texas 75275;"
SMU (Cox),Jingxing (Rowena) Gan,1,1,"Information Technology and Operations Management Department, Cox School of Business, Southern Methodist University, Dallas, Texas 75205;"
SMU (Cox),Yichen Tu,1,1,"Cox Automotive Inc., Atlanta, Georgia 30319;"
SMU (Cox),Tom Fangyun Tan,1,1,"Cox Business School, Southern Methodist University, Dallas, Texas 75275"
Dartmouth (Tuck),Lauren Xiaoyuan Lu,5,5,"Tuck School of Business, Dartmouth College, Hanover, New Hampshire 03755;"
Dartmouth (Tuck),Brian Tomlin,5,5,"Tuck School of Business, Dartmouth College, Hanover, New Hampshire 03755"
Dartmouth (Tuck),Laurens Debo,3,3,"Tuck School of Business Dartmouth College, Hanover, New Hampshire 03755;"
Dartmouth (Tuck),Daniel Feiler,1,1,"Tuck School of Business, Dartmouth College, Hanover, New Hampshire 03755;"
Dartmouth (Tuck),Katharina Lewellen,1,1,"Tuck School of Business, Dartmouth College, Hanover, New Hampshire 03755"
Dartmouth (Tuck),Robert A. Shumsky,1,1,"Tuck School of Business, Dartmouth College, Hanover, New Hampshire 03755"
Dartmouth (Tuck),Laurens G. Debo,1,1,"Tuck School of Business, Dartmouth College, Hanover, New Hampshire 03755"
Dartmouth (Tuck),James E. Smith,1,1,"Tuck School of Business, Dartmouth College, Hanover, New Hampshire 03755"
Dartmouth (Tuck),Jiwen Ge,1,1,"Institute of Supply Chain Analytics, Dongbei University of Finance and Economics, 116012 Dalian, China; ; Tuck School of Business, Dartmouth College, Hanover, New Hampshire 03755;"
Dartmouth (Tuck),Raghav Singal,1,1,"Tuck School of Business, Dartmouth College, Hanover, New Hampshire 03755"
Michigan State (Broad),Stanley Frederick W. T. Lim,3,3,"Eli Broad College of Business, East Lansing, Michigan 48824;"
Michigan State (Broad),Beste Kucukyazici,1,1,"Eli Broad College of Business, Michigan State University, East Lansing, Michigan 48824"
Michigan State (Broad),Bram L. Gorissen,1,1,"Department of Radiation Oncology, Massachusetts General Hospital and Harvard Medical School, Boston, Massachusetts 02114; and The Novo Nordisk Foundation Center for Genomic Mechanisms of Disease, Broad Institute of MIT and Harvard, Cambridge, Massachusetts 02142"
Michigan State (Broad),Jason W. Miller,1,1,"Supply Chain Management Department, Eli Broad College of Business, Michigan State University, East Lansing, Michigan 48824"
Michigan State (Broad),Chandrasekhar Manchiraju,1,1,"Eli Broad College of Business, Michigan State University, East Lansing, Michigan 48824;"
